Mar. 28, 2024   13:43:25
A.C. Impedance
File: f:\ww\eis\eis-1236th cycled.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.359
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 4.208e+0, -1.051e+0, 4.337e+0, -14.0
8.252e+4, 4.515e+0, -1.389e+0, 4.724e+0, -17.1
6.812e+4, 4.845e+0, -1.670e+0, 5.125e+0, -19.0
5.625e+4, 5.187e+0, -1.895e+0, 5.522e+0, -20.1
4.644e+4, 5.543e+0, -2.078e+0, 5.920e+0, -20.5
3.833e+4, 5.900e+0, -2.220e+0, 6.304e+0, -20.6
3.164e+4, 6.243e+0, -2.332e+0, 6.664e+0, -20.5
2.612e+4, 6.587e+0, -2.425e+0, 7.019e+0, -20.2
2.153e+4, 6.923e+0, -2.506e+0, 7.362e+0, -19.9
1.777e+4, 7.247e+0, -2.580e+0, 7.692e+0, -19.6
1.470e+4, 7.564e+0, -2.651e+0, 8.015e+0, -19.3
1.211e+4, 7.885e+0, -2.725e+0, 8.342e+0, -19.1
1.001e+4, 8.197e+0, -2.808e+0, 8.665e+0, -18.9
8.252e+3, 8.516e+0, -2.901e+0, 8.997e+0, -18.8
6.812e+3, 8.828e+0, -3.009e+0, 9.327e+0, -18.8
5.625e+3, 9.141e+0, -3.140e+0, 9.665e+0, -19.0
4.643e+3, 9.457e+0, -3.297e+0, 1.002e+1, -19.2
3.833e+3, 9.782e+0, -3.483e+0, 1.038e+1, -19.6
3.164e+3, 1.011e+1, -3.708e+0, 1.077e+1, -20.1
2.612e+3, 1.046e+1, -3.970e+0, 1.119e+1, -20.8
2.153e+3, 1.084e+1, -4.289e+0, 1.165e+1, -21.6
1.777e+3, 1.124e+1, -4.668e+0, 1.217e+1, -22.5
