Mar. 30, 2024   16:32:47
A.C. Impedance
File: f:\ww\eis\eis-1238th(0.5 mv per s) cycled.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.39
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 4.051e+0, -1.034e+0, 4.181e+0, -14.3
8.252e+4, 4.355e+0, -1.372e+0, 4.566e+0, -17.5
6.812e+4, 4.682e+0, -1.654e+0, 4.966e+0, -19.5
5.625e+4, 5.022e+0, -1.884e+0, 5.364e+0, -20.6
4.644e+4, 5.376e+0, -2.070e+0, 5.760e+0, -21.1
3.833e+4, 5.729e+0, -2.218e+0, 6.144e+0, -21.2
3.164e+4, 6.076e+0, -2.331e+0, 6.508e+0, -21.0
2.612e+4, 6.418e+0, -2.430e+0, 6.862e+0, -20.7
2.153e+4, 6.755e+0, -2.514e+0, 7.208e+0, -20.4
1.777e+4, 7.085e+0, -2.588e+0, 7.543e+0, -20.1
1.470e+4, 7.408e+0, -2.661e+0, 7.871e+0, -19.8
1.211e+4, 7.728e+0, -2.737e+0, 8.199e+0, -19.5
1.001e+4, 8.044e+0, -2.819e+0, 8.524e+0, -19.3
8.252e+3, 8.365e+0, -2.911e+0, 8.856e+0, -19.2
6.812e+3, 8.680e+0, -3.016e+0, 9.189e+0, -19.2
5.625e+3, 8.993e+0, -3.146e+0, 9.528e+0, -19.3
4.643e+3, 9.317e+0, -3.300e+0, 9.884e+0, -19.5
3.833e+3, 9.642e+0, -3.485e+0, 1.025e+1, -19.9
3.164e+3, 9.977e+0, -3.701e+0, 1.064e+1, -20.4
2.612e+3, 1.033e+1, -3.965e+0, 1.106e+1, -21.0
2.153e+3, 1.071e+1, -4.280e+0, 1.153e+1, -21.8
1.777e+3, 1.112e+1, -4.649e+0, 1.205e+1, -22.7
1.470e+3, 1.157e+1, -5.074e+0, 1.263e+1, -23.7
1.211e+3, 1.210e+1, -5.576e+0, 1.332e+1, -24.8
1.001e+3, 1.269e+1, -6.129e+0, 1.409e+1, -25.8
8.252e+2, 1.337e+1, -6.639e+0, 1.493e+1, -26.4
6.836e+2, 1.418e+1, -7.296e+0, 1.595e+1, -27.2
5.615e+2, 1.519e+1, -8.000e+0, 1.717e+1, -27.8
4.639e+2, 1.634e+1, -8.659e+0, 1.850e+1, -27.9
3.809e+2, 1.771e+1, -9.260e+0, 1.998e+1, -27.6
3.174e+2, 1.911e+1, -9.697e+0, 2.143e+1, -26.9
2.588e+2, 2.078e+1, -1.000e+1, 2.306e+1, -25.7
2.148e+2, 2.234e+1, -1.008e+1, 2.451e+1, -24.3
1.758e+2, 2.398e+1, -9.959e+0, 2.597e+1, -22.6
1.465e+2, 2.537e+1, -9.697e+0, 2.716e+1, -20.9
1.221e+2, 2.663e+1, -9.337e+0, 2.822e+1, -19.3
9.766e+1, 2.794e+1, -8.838e+0, 2.931e+1, -17.5
8.254e+1, 2.893e+1, -8.193e+0, 3.007e+1, -15.8
6.813e+1, 2.976e+1, -7.887e+0, 3.079e+1, -14.8
5.623e+1, 3.063e+1, -7.642e+0, 3.157e+1, -14.0
4.642e+1, 3.104e+1, -7.581e+0, 3.196e+1, -13.7
3.831e+1, 3.161e+1, -7.634e+0, 3.252e+1, -13.6
3.162e+1, 3.211e+1, -7.840e+0, 3.306e+1, -13.7
2.610e+1, 3.262e+1, -8.222e+0, 3.364e+1, -14.1
2.154e+1, 3.312e+1, -8.788e+0, 3.426e+1, -14.9
1.778e+1, 3.365e+1, -9.549e+0, 3.498e+1, -15.8
1.468e+1, 3.423e+1, -1.054e+1, 3.582e+1, -17.1
1.212e+1, 3.488e+1, -1.177e+1, 3.681e+1, -18.6
1.000e+1, 3.564e+1, -1.318e+1, 3.800e+1, -20.3
8.254e+0, 3.647e+1, -1.512e+1, 3.948e+1, -22.5
6.813e+0, 3.733e+1, -1.734e+1, 4.116e+1, -24.9
5.623e+0, 3.831e+1, -2.001e+1, 4.322e+1, -27.6
4.642e+0, 3.943e+1, -2.327e+1, 4.579e+1, -30.5
3.831e+0, 4.074e+1, -2.727e+1, 4.902e+1, -33.8
3.162e+0, 4.235e+1, -3.229e+1, 5.326e+1, -37.3
2.610e+0, 4.356e+1, -3.774e+1, 5.764e+1, -40.9
2.154e+0, 4.585e+1, -4.568e+1, 6.472e+1, -44.9
1.778e+0, 4.721e+1, -5.349e+1, 7.134e+1, -48.6
1.468e+0, 5.109e+1, -6.894e+1, 8.580e+1, -53.5
1.212e+0, 5.228e+1, -8.018e+1, 9.572e+1, -56.9
1.000e+0, 5.402e+1, -9.297e+1, 1.075e+2, -59.8
8.254e-1, 5.657e+1, -1.085e+2, 1.224e+2, -62.5
6.813e-1, 5.876e+1, -1.248e+2, 1.379e+2, -64.8
5.623e-1, 6.158e+1, -1.448e+2, 1.573e+2, -67.0
4.642e-1, 6.511e+1, -1.686e+2, 1.807e+2, -68.9
3.831e-1, 6.953e+1, -1.967e+2, 2.086e+2, -70.5
3.162e-1, 7.498e+1, -2.300e+2, 2.419e+2, -71.9
2.610e-1, 8.114e+1, -2.695e+2, 2.815e+2, -73.2
2.154e-1, 8.857e+1, -3.158e+2, 3.280e+2, -74.3
1.778e-1, 9.707e+1, -3.717e+2, 3.841e+2, -75.4
1.468e-1, 1.071e+2, -4.369e+2, 4.499e+2, -76.2
1.212e-1, 1.184e+2, -5.157e+2, 5.291e+2, -77.1
1.000e-1, 1.316e+2, -6.086e+2, 6.226e+2, -77.8
