Mar. 31, 2024   09:13:36
A.C. Impedance
File: f:\ww\eis\eis-1239th(1 mv per s) cycled.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.284
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 4.022e+0, -1.057e+0, 4.159e+0, -14.7
8.252e+4, 4.325e+0, -1.398e+0, 4.545e+0, -17.9
6.812e+4, 4.652e+0, -1.686e+0, 4.948e+0, -19.9
5.625e+4, 4.993e+0, -1.922e+0, 5.351e+0, -21.1
4.644e+4, 5.347e+0, -2.117e+0, 5.751e+0, -21.6
3.833e+4, 5.705e+0, -2.273e+0, 6.141e+0, -21.7
3.164e+4, 6.056e+0, -2.398e+0, 6.513e+0, -21.6
2.612e+4, 6.406e+0, -2.510e+0, 6.880e+0, -21.4
2.153e+4, 6.755e+0, -2.606e+0, 7.240e+0, -21.1
1.777e+4, 7.094e+0, -2.692e+0, 7.588e+0, -20.8
1.470e+4, 7.430e+0, -2.778e+0, 7.932e+0, -20.5
1.211e+4, 7.768e+0, -2.861e+0, 8.278e+0, -20.2
1.001e+4, 8.098e+0, -2.953e+0, 8.620e+0, -20.0
8.252e+3, 8.437e+0, -3.056e+0, 8.973e+0, -19.9
6.812e+3, 8.768e+0, -3.175e+0, 9.325e+0, -19.9
5.625e+3, 9.102e+0, -3.317e+0, 9.688e+0, -20.0
4.643e+3, 9.439e+0, -3.484e+0, 1.006e+1, -20.3
3.833e+3, 9.781e+0, -3.678e+0, 1.045e+1, -20.6
3.164e+3, 1.013e+1, -3.914e+0, 1.086e+1, -21.1
2.612e+3, 1.050e+1, -4.187e+0, 1.130e+1, -21.7
2.153e+3, 1.089e+1, -4.521e+0, 1.179e+1, -22.5
1.777e+3, 1.132e+1, -4.919e+0, 1.234e+1, -23.5
1.470e+3, 1.178e+1, -5.376e+0, 1.295e+1, -24.5
1.211e+3, 1.230e+1, -5.919e+0, 1.365e+1, -25.7
1.001e+3, 1.291e+1, -6.526e+0, 1.446e+1, -26.8
8.252e+2, 1.359e+1, -7.111e+0, 1.533e+1, -27.6
6.836e+2, 1.440e+1, -7.862e+0, 1.641e+1, -28.6
5.615e+2, 1.543e+1, -8.697e+0, 1.771e+1, -29.4
4.639e+2, 1.660e+1, -9.522e+0, 1.914e+1, -29.8
3.809e+2, 1.804e+1, -1.033e+1, 2.079e+1, -29.8
3.174e+2, 1.955e+1, -1.100e+1, 2.243e+1, -29.4
2.588e+2, 2.142e+1, -1.156e+1, 2.434e+1, -28.4
2.148e+2, 2.324e+1, -1.187e+1, 2.610e+1, -27.1
1.758e+2, 2.525e+1, -1.195e+1, 2.793e+1, -25.3
1.465e+2, 2.700e+1, -1.181e+1, 2.947e+1, -23.6
1.221e+2, 2.866e+1, -1.150e+1, 3.088e+1, -21.9
9.766e+1, 3.044e+1, -1.097e+1, 3.236e+1, -19.8
8.254e+1, 3.178e+1, -1.023e+1, 3.338e+1, -17.8
6.813e+1, 3.293e+1, -9.781e+0, 3.435e+1, -16.5
5.623e+1, 3.413e+1, -9.355e+0, 3.539e+1, -15.3
4.642e+1, 3.470e+1, -9.171e+0, 3.590e+1, -14.8
3.831e+1, 3.545e+1, -9.070e+0, 3.660e+1, -14.4
3.162e+1, 3.610e+1, -9.136e+0, 3.724e+1, -14.2
2.610e+1, 3.672e+1, -9.386e+0, 3.790e+1, -14.3
2.154e+1, 3.733e+1, -9.844e+0, 3.861e+1, -14.8
1.778e+1, 3.796e+1, -1.052e+1, 3.939e+1, -15.5
1.468e+1, 3.862e+1, -1.143e+1, 4.027e+1, -16.5
1.212e+1, 3.940e+1, -1.257e+1, 4.136e+1, -17.7
1.000e+1, 4.020e+1, -1.404e+1, 4.258e+1, -19.2
8.254e+0, 4.110e+1, -1.584e+1, 4.404e+1, -21.1
6.813e+0, 4.204e+1, -1.802e+1, 4.574e+1, -23.2
5.623e+0, 4.311e+1, -2.065e+1, 4.780e+1, -25.6
4.642e+0, 4.433e+1, -2.387e+1, 5.035e+1, -28.3
