Apr. 2, 2024   13:50:36
A.C. Impedance
File: f:\ww\eis\eis-1241th(10 mv per s) cycled.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.098
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 3.789e+0, -9.069e-1, 3.896e+0, -13.5
8.252e+4, 4.074e+0, -1.246e+0, 4.260e+0, -17.0
6.812e+4, 4.383e+0, -1.531e+0, 4.643e+0, -19.2
5.625e+4, 4.700e+0, -1.764e+0, 5.021e+0, -20.6
4.644e+4, 5.029e+0, -1.960e+0, 5.398e+0, -21.3
3.833e+4, 5.362e+0, -2.120e+0, 5.766e+0, -21.6
3.164e+4, 5.694e+0, -2.253e+0, 6.124e+0, -21.6
2.612e+4, 6.022e+0, -2.369e+0, 6.471e+0, -21.5
2.153e+4, 6.351e+0, -2.475e+0, 6.816e+0, -21.3
1.777e+4, 6.673e+0, -2.570e+0, 7.151e+0, -21.1
1.470e+4, 6.994e+0, -2.664e+0, 7.484e+0, -20.9
1.211e+4, 7.314e+0, -2.762e+0, 7.819e+0, -20.7
1.001e+4, 7.632e+0, -2.863e+0, 8.152e+0, -20.6
8.252e+3, 7.960e+0, -2.978e+0, 8.499e+0, -20.5
6.812e+3, 8.278e+0, -3.107e+0, 8.842e+0, -20.6
5.625e+3, 8.602e+0, -3.261e+0, 9.199e+0, -20.8
4.643e+3, 8.930e+0, -3.442e+0, 9.570e+0, -21.1
3.833e+3, 9.268e+0, -3.655e+0, 9.963e+0, -21.5
3.164e+3, 9.617e+0, -3.907e+0, 1.038e+1, -22.1
2.612e+3, 9.985e+0, -4.206e+0, 1.083e+1, -22.8
2.153e+3, 1.038e+1, -4.561e+0, 1.134e+1, -23.7
1.777e+3, 1.082e+1, -4.979e+0, 1.192e+1, -24.7
1.470e+3, 1.131e+1, -5.456e+0, 1.256e+1, -25.8
1.211e+3, 1.187e+1, -6.016e+0, 1.331e+1, -26.9
1.001e+3, 1.252e+1, -6.632e+0, 1.417e+1, -27.9
8.252e+2, 1.327e+1, -7.206e+0, 1.510e+1, -28.5
6.836e+2, 1.416e+1, -7.928e+0, 1.623e+1, -29.2
5.615e+2, 1.528e+1, -8.698e+0, 1.758e+1, -29.7
4.639e+2, 1.654e+1, -9.409e+0, 1.903e+1, -29.6
3.809e+2, 1.804e+1, -1.005e+1, 2.065e+1, -29.1
3.174e+2, 1.958e+1, -1.051e+1, 2.222e+1, -28.2
2.588e+2, 2.140e+1, -1.081e+1, 2.397e+1, -26.8
2.148e+2, 2.309e+1, -1.087e+1, 2.552e+1, -25.2
1.758e+2, 2.488e+1, -1.071e+1, 2.709e+1, -23.3
1.465e+2, 2.639e+1, -1.040e+1, 2.836e+1, -21.5
1.221e+2, 2.775e+1, -9.971e+0, 2.949e+1, -19.8
9.766e+1, 2.918e+1, -9.389e+0, 3.066e+1, -17.8
8.254e+1, 3.027e+1, -8.655e+0, 3.148e+1, -16.0
6.813e+1, 3.117e+1, -8.263e+0, 3.224e+1, -14.8
5.623e+1, 3.211e+1, -7.906e+0, 3.307e+1, -13.8
4.642e+1, 3.256e+1, -7.772e+0, 3.348e+1, -13.4
3.831e+1, 3.317e+1, -7.728e+0, 3.406e+1, -13.1
3.162e+1, 3.370e+1, -7.828e+0, 3.459e+1, -13.1
2.610e+1, 3.422e+1, -8.085e+0, 3.516e+1, -13.3
2.154e+1, 3.474e+1, -8.512e+0, 3.577e+1, -13.8
1.778e+1, 3.528e+1, -9.129e+0, 3.644e+1, -14.5
1.468e+1, 3.584e+1, -9.954e+0, 3.720e+1, -15.5
1.212e+1, 3.646e+1, -1.100e+1, 3.808e+1, -16.8
1.000e+1, 3.717e+1, -1.220e+1, 3.912e+1, -18.2
8.254e+0, 3.795e+1, -1.392e+1, 4.042e+1, -20.1
6.813e+0, 3.875e+1, -1.587e+1, 4.188e+1, -22.3
5.623e+0, 3.966e+1, -1.825e+1, 4.366e+1, -24.7
4.642e+0, 4.072e+1, -2.116e+1, 4.589e+1, -27.5
3.831e+0, 4.197e+1, -2.474e+1, 4.872e+1, -30.5
3.162e+0, 4.353e+1, -2.923e+1, 5.243e+1, -33.9
2.610e+0, 4.470e+1, -3.414e+1, 5.625e+1, -37.4
2.154e+0, 4.700e+1, -4.130e+1, 6.256e+1, -41.3
1.778e+0, 4.827e+1, -4.839e+1, 6.834e+1, -45.1
1.468e+0, 5.242e+1, -6.255e+1, 8.161e+1, -50.0
1.212e+0, 5.345e+1, -7.310e+1, 9.056e+1, -53.8
1.000e+0, 5.476e+1, -8.489e+1, 1.010e+2, -57.2
8.254e-1, 5.668e+1, -9.918e+1, 1.142e+2, -60.3
6.813e-1, 5.793e+1, -1.140e+2, 1.278e+2, -63.1
5.623e-1, 5.975e+1, -1.325e+2, 1.453e+2, -65.7
4.642e-1, 6.206e+1, -1.542e+2, 1.662e+2, -68.1
3.831e-1, 6.497e+1, -1.801e+2, 1.915e+2, -70.2
3.162e-1, 6.861e+1, -2.108e+2, 2.217e+2, -72.0
2.610e-1, 7.311e+1, -2.480e+2, 2.585e+2, -73.6
2.154e-1, 7.852e+1, -2.915e+2, 3.018e+2, -74.9
1.778e-1, 8.476e+1, -3.436e+2, 3.539e+2, -76.1
1.468e-1, 9.206e+1, -4.059e+2, 4.162e+2, -77.2
1.212e-1, 1.004e+2, -4.807e+2, 4.911e+2, -78.2
1.000e-1, 1.106e+2, -5.692e+2, 5.799e+2, -79.0
