Mar. 12, 2024   14:05:12
A.C. Impedance
File: f:\ww\eis-1st cycled.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.32
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 2.807e+0, -1.290e+0, 3.089e+0, -24.7
8.252e+4, 3.016e+0, -1.768e+0, 3.496e+0, -30.4
6.812e+4, 3.240e+0, -2.238e+0, 3.937e+0, -34.6
5.625e+4, 3.468e+0, -2.716e+0, 4.405e+0, -38.1
4.644e+4, 3.708e+0, -3.225e+0, 4.915e+0, -41.0
3.833e+4, 3.955e+0, -3.782e+0, 5.472e+0, -43.7
3.164e+4, 4.209e+0, -4.407e+0, 6.094e+0, -46.3
2.612e+4, 4.481e+0, -5.124e+0, 6.807e+0, -48.8
2.153e+4, 4.769e+0, -5.969e+0, 7.640e+0, -51.4
1.777e+4, 5.096e+0, -6.941e+0, 8.611e+0, -53.7
1.470e+4, 5.459e+0, -8.077e+0, 9.749e+0, -55.9
1.211e+4, 5.873e+0, -9.443e+0, 1.112e+1, -58.1
1.001e+4, 6.361e+0, -1.103e+1, 1.273e+1, -60.0
8.252e+3, 6.959e+0, -1.292e+1, 1.468e+1, -61.7
6.812e+3, 7.651e+0, -1.513e+1, 1.695e+1, -63.2
5.625e+3, 8.497e+0, -1.771e+1, 1.964e+1, -64.4
4.643e+3, 9.533e+0, -2.070e+1, 2.279e+1, -65.3
3.833e+3, 1.082e+1, -2.422e+1, 2.652e+1, -65.9
3.164e+3, 1.241e+1, -2.813e+1, 3.075e+1, -66.2
2.612e+3, 1.438e+1, -3.287e+1, 3.588e+1, -66.4
2.153e+3, 1.687e+1, -3.831e+1, 4.186e+1, -66.2
1.777e+3, 1.988e+1, -4.453e+1, 4.877e+1, -65.9
1.470e+3, 2.354e+1, -5.145e+1, 5.658e+1, -65.4
1.211e+3, 2.810e+1, -5.939e+1, 6.570e+1, -64.7
1.001e+3, 3.360e+1, -6.816e+1, 7.599e+1, -63.8
8.252e+2, 4.062e+1, -7.744e+1, 8.745e+1, -62.3
6.836e+2, 4.854e+1, -8.802e+1, 1.005e+2, -61.1
5.615e+2, 5.849e+1, -1.000e+2, 1.159e+2, -59.7
4.639e+2, 7.002e+1, -1.124e+2, 1.324e+2, -58.1
3.809e+2, 8.413e+1, -1.259e+2, 1.514e+2, -56.2
3.174e+2, 9.935e+1, -1.387e+2, 1.706e+2, -54.4
2.588e+2, 1.189e+2, -1.530e+2, 1.938e+2, -52.1
2.148e+2, 1.393e+2, -1.657e+2, 2.165e+2, -49.9
1.758e+2, 1.641e+2, -1.787e+2, 2.426e+2, -47.5
1.465e+2, 1.885e+2, -1.892e+2, 2.671e+2, -45.1
1.221e+2, 2.149e+2, -1.985e+2, 2.925e+2, -42.7
9.766e+1, 2.496e+2, -2.067e+2, 3.241e+2, -39.6
8.254e+1, 2.785e+2, -2.088e+2, 3.481e+2, -36.9
6.813e+1, 3.097e+2, -2.126e+2, 3.757e+2, -34.5
5.623e+1, 3.494e+2, -2.149e+2, 4.102e+2, -31.6
4.642e+1, 3.720e+2, -2.135e+2, 4.289e+2, -29.8
3.831e+1, 4.031e+2, -2.110e+2, 4.550e+2, -27.6
3.162e+1, 4.323e+2, -2.065e+2, 4.791e+2, -25.5
2.610e+1, 4.603e+2, -2.005e+2, 5.021e+2, -23.5
2.154e+1, 4.869e+2, -1.933e+2, 5.238e+2, -21.7
1.778e+1, 5.113e+2, -1.853e+2, 5.439e+2, -19.9
1.468e+1, 5.339e+2, -1.769e+2, 5.625e+2, -18.3
1.212e+1, 5.545e+2, -1.687e+2, 5.796e+2, -16.9
1.000e+1, 5.734e+2, -1.595e+2, 5.952e+2, -15.5
8.254e+0, 5.902e+2, -1.530e+2, 6.098e+2, -14.5
6.813e+0, 6.052e+2, -1.477e+2, 6.230e+2, -13.7
5.623e+0, 6.190e+2, -1.438e+2, 6.355e+2, -13.1
4.642e+0, 6.317e+2, -1.417e+2, 6.474e+2, -12.6
3.831e+0, 6.439e+2, -1.418e+2, 6.593e+2, -12.4
3.162e+0, 6.561e+2, -1.441e+2, 6.717e+2, -12.4
2.610e+0, 6.661e+2, -1.490e+2, 6.825e+2, -12.6
2.154e+0, 6.792e+2, -1.572e+2, 6.971e+2, -13.0
1.778e+0, 6.893e+2, -1.688e+2, 7.096e+2, -13.8
1.468e+0, 7.095e+2, -1.856e+2, 7.333e+2, -14.7
1.212e+0, 7.231e+2, -2.080e+2, 7.524e+2, -16.0
1.000e+0, 7.346e+2, -2.354e+2, 7.714e+2, -17.8
8.254e-1, 7.519e+2, -2.669e+2, 7.979e+2, -19.5
6.813e-1, 7.575e+2, -3.078e+2, 8.176e+2, -22.1
5.623e-1, 7.673e+2, -3.597e+2, 8.475e+2, -25.1
4.642e-1, 7.780e+2, -4.235e+2, 8.858e+2, -28.6
3.831e-1, 7.871e+2, -5.006e+2, 9.328e+2, -32.5
3.162e-1, 7.968e+2, -5.936e+2, 9.936e+2, -36.7
2.610e-1, 8.029e+2, -7.019e+2, 1.066e+3, -41.2
