Mar. 13, 2024   14:14:12
A.C. Impedance
File: f:\ww\eis-2nd cycled.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.309
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 2.884e+0, -1.449e+0, 3.227e+0, -26.7
8.252e+4, 3.105e+0, -1.943e+0, 3.662e+0, -32.0
6.812e+4, 3.339e+0, -2.431e+0, 4.130e+0, -36.1
5.625e+4, 3.579e+0, -2.929e+0, 4.625e+0, -39.3
4.644e+4, 3.827e+0, -3.463e+0, 5.161e+0, -42.1
3.833e+4, 4.081e+0, -4.050e+0, 5.750e+0, -44.8
3.164e+4, 4.341e+0, -4.712e+0, 6.407e+0, -47.3
2.612e+4, 4.612e+0, -5.477e+0, 7.160e+0, -49.9
2.153e+4, 4.908e+0, -6.382e+0, 8.051e+0, -52.4
1.777e+4, 5.227e+0, -7.436e+0, 9.090e+0, -54.9
1.470e+4, 5.584e+0, -8.673e+0, 1.032e+1, -57.2
1.211e+4, 6.004e+0, -1.017e+1, 1.181e+1, -59.4
1.001e+4, 6.489e+0, -1.191e+1, 1.356e+1, -61.4
8.252e+3, 7.101e+0, -1.400e+1, 1.569e+1, -63.1
6.812e+3, 7.813e+0, -1.643e+1, 1.819e+1, -64.6
5.625e+3, 8.688e+0, -1.926e+1, 2.113e+1, -65.7
4.643e+3, 9.778e+0, -2.262e+1, 2.464e+1, -66.6
3.833e+3, 1.115e+1, -2.651e+1, 2.876e+1, -67.2
3.164e+3, 1.284e+1, -3.089e+1, 3.346e+1, -67.4
2.612e+3, 1.498e+1, -3.616e+1, 3.914e+1, -67.5
2.153e+3, 1.767e+1, -4.225e+1, 4.580e+1, -67.3
1.777e+3, 2.094e+1, -4.918e+1, 5.345e+1, -66.9
1.470e+3, 2.495e+1, -5.691e+1, 6.214e+1, -66.3
1.211e+3, 2.999e+1, -6.582e+1, 7.233e+1, -65.5
1.001e+3, 3.609e+1, -7.565e+1, 8.382e+1, -64.5
8.252e+2, 4.388e+1, -8.608e+1, 9.662e+1, -63.0
6.836e+2, 5.272e+1, -9.788e+1, 1.112e+2, -61.7
5.615e+2, 6.386e+1, -1.113e+2, 1.283e+2, -60.2
4.639e+2, 7.675e+1, -1.251e+2, 1.468e+2, -58.5
3.809e+2, 9.257e+1, -1.401e+2, 1.679e+2, -56.5
3.174e+2, 1.097e+2, -1.544e+2, 1.894e+2, -54.6
2.588e+2, 1.318e+2, -1.703e+2, 2.154e+2, -52.3
2.148e+2, 1.550e+2, -1.844e+2, 2.409e+2, -50.0
1.758e+2, 1.832e+2, -1.985e+2, 2.701e+2, -47.3
1.465e+2, 2.111e+2, -2.098e+2, 2.976e+2, -44.8
1.221e+2, 2.413e+2, -2.191e+2, 3.259e+2, -42.2
9.766e+1, 2.809e+2, -2.263e+2, 3.607e+2, -38.9
8.254e+1, 3.135e+2, -2.268e+2, 3.869e+2, -35.9
6.813e+1, 3.484e+2, -2.281e+2, 4.165e+2, -33.2
5.623e+1, 3.919e+2, -2.260e+2, 4.524e+2, -30.0
4.642e+1, 4.154e+2, -2.222e+2, 4.711e+2, -28.1
3.831e+1, 4.471e+2, -2.158e+2, 4.964e+2, -25.8
3.162e+1, 4.758e+2, -2.078e+2, 5.192e+2, -23.6
2.610e+1, 5.023e+2, -1.989e+2, 5.402e+2, -21.6
2.154e+1, 5.267e+2, -1.896e+2, 5.598e+2, -19.8
1.778e+1, 5.487e+2, -1.807e+2, 5.777e+2, -18.2
1.468e+1, 5.688e+2, -1.724e+2, 5.943e+2, -16.9
1.212e+1, 5.872e+2, -1.650e+2, 6.100e+2, -15.7
1.000e+1, 6.049e+2, -1.574e+2, 6.251e+2, -14.6
8.254e+0, 6.208e+2, -1.528e+2, 6.393e+2, -13.8
6.813e+0, 6.356e+2, -1.496e+2, 6.530e+2, -13.2
5.623e+0, 6.500e+2, -1.480e+2, 6.666e+2, -12.8
4.642e+0, 6.638e+2, -1.479e+2, 6.801e+2, -12.6
3.831e+0, 6.779e+2, -1.495e+2, 6.942e+2, -12.4
3.162e+0, 6.921e+2, -1.531e+2, 7.088e+2, -12.5
2.610e+0, 7.044e+2, -1.589e+2, 7.221e+2, -12.7
2.154e+0, 7.204e+2, -1.674e+2, 7.396e+2, -13.1
1.778e+0, 7.326e+2, -1.788e+2, 7.541e+2, -13.7
1.468e+0, 7.564e+2, -1.946e+2, 7.810e+2, -14.4
1.212e+0, 7.710e+2, -2.152e+2, 8.005e+2, -15.6
1.000e+0, 7.849e+2, -2.404e+2, 8.209e+2, -17.0
8.254e-1, 8.051e+2, -2.694e+2, 8.490e+2, -18.5
6.813e-1, 8.120e+2, -3.072e+2, 8.682e+2, -20.7
5.623e-1, 8.233e+2, -3.549e+2, 8.966e+2, -23.3
4.642e-1, 8.351e+2, -4.140e+2, 9.321e+2, -26.4
3.831e-1, 8.469e+2, -4.855e+2, 9.762e+2, -29.8
3.162e-1, 8.585e+2, -5.726e+2, 1.032e+3, -33.7
2.610e-1, 8.672e+2, -6.748e+2, 1.099e+3, -37.9
2.154e-1, 8.758e+2, -7.977e+2, 1.185e+3, -42.3
1.778e-1, 8.841e+2, -9.429e+2, 1.293e+3, -46.8
1.468e-1, 8.934e+2, -1.115e+3, 1.429e+3, -51.3
1.212e-1, 9.061e+2, -1.322e+3, 1.603e+3, -55.6
1.000e-1, 9.214e+2, -1.561e+3, 1.813e+3, -59.5
