Mar. 14, 2024   09:06:47
A.C. Impedance
File: f:\ww\eis\eis-3rd cycled.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.369
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 2.960e+0, -1.572e+0, 3.351e+0, -28.0
8.252e+4, 3.192e+0, -2.080e+0, 3.810e+0, -33.1
6.812e+4, 3.437e+0, -2.583e+0, 4.299e+0, -36.9
5.625e+4, 3.687e+0, -3.099e+0, 4.817e+0, -40.0
4.644e+4, 3.943e+0, -3.656e+0, 5.377e+0, -42.8
3.833e+4, 4.207e+0, -4.267e+0, 5.993e+0, -45.4
3.164e+4, 4.473e+0, -4.959e+0, 6.679e+0, -48.0
2.612e+4, 4.754e+0, -5.761e+0, 7.469e+0, -50.5
2.153e+4, 5.051e+0, -6.709e+0, 8.398e+0, -53.0
1.777e+4, 5.375e+0, -7.821e+0, 9.490e+0, -55.5
1.470e+4, 5.738e+0, -9.133e+0, 1.079e+1, -57.9
1.211e+4, 6.160e+0, -1.072e+1, 1.236e+1, -60.1
1.001e+4, 6.655e+0, -1.256e+1, 1.422e+1, -62.1
8.252e+3, 7.264e+0, -1.479e+1, 1.647e+1, -63.8
6.812e+3, 8.000e+0, -1.737e+1, 1.913e+1, -65.3
5.625e+3, 8.884e+0, -2.041e+1, 2.226e+1, -66.5
4.643e+3, 9.993e+0, -2.399e+1, 2.599e+1, -67.4
3.833e+3, 1.139e+1, -2.800e+1, 3.023e+1, -67.9
3.164e+3, 1.314e+1, -3.292e+1, 3.544e+1, -68.2
2.612e+3, 1.533e+1, -3.859e+1, 4.153e+1, -68.3
2.153e+3, 1.810e+1, -4.519e+1, 4.869e+1, -68.2
1.777e+3, 2.151e+1, -5.269e+1, 5.691e+1, -67.8
1.470e+3, 2.570e+1, -6.113e+1, 6.632e+1, -67.2
1.211e+3, 3.096e+1, -7.086e+1, 7.733e+1, -66.4
1.001e+3, 3.739e+1, -8.162e+1, 8.978e+1, -65.4
8.252e+2, 4.563e+1, -9.316e+1, 1.037e+2, -63.9
6.836e+2, 5.499e+1, -1.062e+2, 1.196e+2, -62.6
5.615e+2, 6.687e+1, -1.211e+2, 1.383e+2, -61.1
4.639e+2, 8.073e+1, -1.365e+2, 1.586e+2, -59.4
3.809e+2, 9.779e+1, -1.534e+2, 1.819e+2, -57.5
3.174e+2, 1.164e+2, -1.694e+2, 2.056e+2, -55.5
2.588e+2, 1.405e+2, -1.875e+2, 2.343e+2, -53.1
2.148e+2, 1.659e+2, -2.036e+2, 2.626e+2, -50.8
1.758e+2, 1.970e+2, -2.198e+2, 2.952e+2, -48.1
1.465e+2, 2.282e+2, -2.328e+2, 3.260e+2, -45.6
1.221e+2, 2.620e+2, -2.436e+2, 3.577e+2, -42.9
9.766e+1, 3.063e+2, -2.520e+2, 3.966e+2, -39.4
8.254e+1, 3.430e+2, -2.526e+2, 4.259e+2, -36.4
6.813e+1, 3.822e+2, -2.537e+2, 4.587e+2, -33.6
5.623e+1, 4.302e+2, -2.514e+2, 4.982e+2, -30.3
4.642e+1, 4.562e+2, -2.469e+2, 5.187e+2, -28.4
3.831e+1, 4.911e+2, -2.395e+2, 5.464e+2, -26.0
3.162e+1, 5.227e+2, -2.307e+2, 5.713e+2, -23.8
2.610e+1, 5.518e+2, -2.213e+2, 5.945e+2, -21.9
2.154e+1, 5.783e+2, -2.116e+2, 6.158e+2, -20.1
1.778e+1, 6.027e+2, -2.025e+2, 6.358e+2, -18.6
1.468e+1, 6.251e+2, -1.943e+2, 6.546e+2, -17.3
