Mar. 24, 2024   15:55:06
A.C. Impedance
File: f:\ww\eis\eis-935th cycled.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.17
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 4.246e+0, -9.799e-1, 4.358e+0, -13.0
8.252e+4, 4.546e+0, -1.305e+0, 4.730e+0, -16.0
6.812e+4, 4.865e+0, -1.569e+0, 5.112e+0, -17.9
5.625e+4, 5.193e+0, -1.781e+0, 5.490e+0, -18.9
4.644e+4, 5.534e+0, -1.952e+0, 5.868e+0, -19.4
3.833e+4, 5.865e+0, -2.084e+0, 6.224e+0, -19.6
3.164e+4, 6.191e+0, -2.187e+0, 6.566e+0, -19.5
2.612e+4, 6.512e+0, -2.274e+0, 6.897e+0, -19.2
2.153e+4, 6.824e+0, -2.348e+0, 7.216e+0, -19.0
1.777e+4, 7.126e+0, -2.419e+0, 7.526e+0, -18.7
1.470e+4, 7.425e+0, -2.492e+0, 7.832e+0, -18.6
1.211e+4, 7.719e+0, -2.564e+0, 8.134e+0, -18.4
1.001e+4, 8.010e+0, -2.647e+0, 8.436e+0, -18.3
8.252e+3, 8.312e+0, -2.741e+0, 8.752e+0, -18.3
6.812e+3, 8.601e+0, -2.852e+0, 9.062e+0, -18.3
5.625e+3, 8.898e+0, -2.985e+0, 9.385e+0, -18.5
4.643e+3, 9.200e+0, -3.144e+0, 9.722e+0, -18.9
3.833e+3, 9.516e+0, -3.334e+0, 1.008e+1, -19.3
3.164e+3, 9.840e+0, -3.557e+0, 1.046e+1, -19.9
2.612e+3, 1.019e+1, -3.819e+0, 1.088e+1, -20.6
2.153e+3, 1.057e+1, -4.131e+0, 1.135e+1, -21.4
1.777e+3, 1.099e+1, -4.494e+0, 1.187e+1, -22.2
1.470e+3, 1.146e+1, -4.903e+0, 1.246e+1, -23.2
1.211e+3, 1.201e+1, -5.370e+0, 1.315e+1, -24.1
1.001e+3, 1.264e+1, -5.872e+0, 1.393e+1, -24.9
8.252e+2, 1.335e+1, -6.298e+0, 1.476e+1, -25.3
6.836e+2, 1.420e+1, -6.835e+0, 1.576e+1, -25.7
5.615e+2, 1.523e+1, -7.363e+0, 1.692e+1, -25.8
4.639e+2, 1.637e+1, -7.803e+0, 1.813e+1, -25.5
3.809e+2, 1.764e+1, -8.133e+0, 1.943e+1, -24.7
3.174e+2, 1.888e+1, -8.299e+0, 2.063e+1, -23.7
2.588e+2, 2.028e+1, -8.316e+0, 2.192e+1, -22.3
2.148e+2, 2.151e+1, -8.185e+0, 2.302e+1, -20.8
1.758e+2, 2.273e+1, -7.919e+0, 2.407e+1, -19.2
1.465e+2, 2.371e+1, -7.614e+0, 2.491e+1, -17.8
1.221e+2, 2.458e+1, -7.286e+0, 2.563e+1, -16.5
9.766e+1, 2.546e+1, -6.917e+0, 2.638e+1, -15.2
8.254e+1, 2.616e+1, -6.436e+0, 2.694e+1, -13.8
6.813e+1, 2.672e+1, -6.308e+0, 2.746e+1, -13.3
5.623e+1, 2.732e+1, -6.298e+0, 2.804e+1, -13.0
4.642e+1, 2.762e+1, -6.375e+0, 2.835e+1, -13.0
3.831e+1, 2.804e+1, -6.606e+0, 2.881e+1, -13.3
3.162e+1, 2.843e+1, -6.979e+0, 2.928e+1, -13.8
2.610e+1, 2.883e+1, -7.519e+0, 2.980e+1, -14.6
2.154e+1, 2.925e+1, -8.242e+0, 3.039e+1, -15.7
1.778e+1, 2.970e+1, -9.160e+0, 3.109e+1, -17.1
1.468e+1, 3.020e+1, -1.032e+1, 3.191e+1, -18.9
1.212e+1, 3.076e+1, -1.174e+1, 3.293e+1, -20.9
1.000e+1, 3.143e+1, -1.339e+1, 3.417e+1, -23.1
8.254e+0, 3.218e+1, -1.559e+1, 3.576e+1, -25.8
6.813e+0, 3.298e+1, -1.812e+1, 3.762e+1, -28.8
5.623e+0, 3.388e+1, -2.116e+1, 3.995e+1, -32.0
4.642e+0, 3.494e+1, -2.485e+1, 4.288e+1, -35.4
3.831e+0, 3.618e+1, -2.936e+1, 4.660e+1, -39.1
3.162e+0, 3.769e+1, -3.498e+1, 5.142e+1, -42.9
2.610e+0, 3.890e+1, -4.101e+1, 5.652e+1, -46.5
2.154e+0, 4.095e+1, -4.967e+1, 6.437e+1, -50.5
1.778e+0, 4.233e+1, -5.810e+1, 7.188e+1, -53.9
1.468e+0, 4.526e+1, -7.421e+1, 8.693e+1, -58.6
1.212e+0, 4.657e+1, -8.618e+1, 9.795e+1, -61.6
1.000e+0, 4.853e+1, -1.000e+2, 1.112e+2, -64.1
8.254e-1, 5.121e+1, -1.166e+2, 1.274e+2, -66.3
6.813e-1, 5.380e+1, -1.345e+2, 1.449e+2, -68.2
5.623e-1, 5.682e+1, -1.566e+2, 1.666e+2, -70.1
4.642e-1, 6.043e+1, -1.829e+2, 1.926e+2, -71.7
3.831e-1, 6.476e+1, -2.141e+2, 2.237e+2, -73.2
3.162e-1, 6.978e+1, -2.514e+2, 2.609e+2, -74.5
2.610e-1, 7.572e+1, -2.949e+2, 3.045e+2, -75.6
2.154e-1, 8.241e+1, -3.476e+2, 3.572e+2, -76.7
1.778e-1, 9.000e+1, -4.106e+2, 4.204e+2, -77.6
1.468e-1, 9.904e+1, -4.851e+2, 4.951e+2, -78.5
1.212e-1, 1.092e+2, -5.744e+2, 5.847e+2, -79.2
1.000e-1, 1.211e+2, -6.824e+2, 6.931e+2, -79.9
