Mar. 11, 2024   08:38:14
A.C. Impedance
File: f:\ww\eis-uncycled-1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 1.74
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 2.710e+0, -7.343e-1, 2.808e+0, -15.2
8.252e+4, 2.849e+0, -1.124e+0, 3.062e+0, -21.5
6.812e+4, 2.986e+0, -1.508e+0, 3.346e+0, -26.8
5.625e+4, 3.118e+0, -1.905e+0, 3.653e+0, -31.4
4.644e+4, 3.250e+0, -2.338e+0, 4.004e+0, -35.7
3.833e+4, 3.385e+0, -2.819e+0, 4.405e+0, -39.8
3.164e+4, 3.524e+0, -3.373e+0, 4.878e+0, -43.7
2.612e+4, 3.679e+0, -4.019e+0, 5.449e+0, -47.5
2.153e+4, 3.852e+0, -4.783e+0, 6.141e+0, -51.2
1.777e+4, 4.063e+0, -5.676e+0, 6.980e+0, -54.4
1.470e+4, 4.312e+0, -6.719e+0, 7.984e+0, -57.3
1.211e+4, 4.624e+0, -7.967e+0, 9.212e+0, -59.9
1.001e+4, 5.006e+0, -9.416e+0, 1.066e+1, -62.0
8.252e+3, 5.497e+0, -1.115e+1, 1.243e+1, -63.8
6.812e+3, 6.089e+0, -1.314e+1, 1.449e+1, -65.1
5.625e+3, 6.818e+0, -1.548e+1, 1.691e+1, -66.2
4.643e+3, 7.725e+0, -1.817e+1, 1.975e+1, -67.0
3.833e+3, 8.863e+0, -2.131e+1, 2.308e+1, -67.4
3.164e+3, 1.029e+1, -2.494e+1, 2.698e+1, -67.6
2.612e+3, 1.208e+1, -2.903e+1, 3.144e+1, -67.4
2.153e+3, 1.432e+1, -3.388e+1, 3.678e+1, -67.1
1.777e+3, 1.708e+1, -3.941e+1, 4.295e+1, -66.6
1.470e+3, 2.046e+1, -4.556e+1, 4.995e+1, -65.8
1.211e+3, 2.470e+1, -5.257e+1, 5.808e+1, -64.8
1.001e+3, 2.985e+1, -6.024e+1, 6.723e+1, -63.6
8.252e+2, 3.649e+1, -6.827e+1, 7.741e+1, -61.9
6.836e+2, 4.399e+1, -7.731e+1, 8.895e+1, -60.4
5.615e+2, 5.346e+1, -8.739e+1, 1.024e+2, -58.5
4.639e+2, 6.439e+1, -9.756e+1, 1.169e+2, -56.6
3.809e+2, 7.771e+1, -1.082e+2, 1.332e+2, -54.3
3.174e+2, 9.195e+1, -1.180e+2, 1.496e+2, -52.1
2.588e+2, 1.100e+2, -1.283e+2, 1.690e+2, -49.4
2.148e+2, 1.286e+2, -1.367e+2, 1.877e+2, -46.8
1.758e+2, 1.506e+2, -1.444e+2, 2.086e+2, -43.8
1.465e+2, 1.720e+2, -1.496e+2, 2.280e+2, -41.0
1.221e+2, 1.943e+2, -1.529e+2, 2.473e+2, -38.2
9.766e+1, 2.225e+2, -1.533e+2, 2.702e+2, -34.6
8.254e+1, 2.449e+2, -1.499e+2, 2.871e+2, -31.5
